"net","n_su","n_ties","density","reciprocity","transitivity","avpathlength","outdeg_centralization","indeg_centralization","bet_centralization","mean_degree","range_outdegree","range_indegree","site"
"transp_loan","100","1227","0.124","0.165","0.257","2.128","0.129","0.129","0.027","12.27","3 - 25","4 - 25","SM"
"transp_exchange","100","1191","0.12","0.139","0.26","2.164","0.213","0.142","0.03","11.91","2 - 33","2 - 26","SM"
"transp_behav","100","1231","0.124","0.141","0.265","2.133","0.158","0.169","0.033","12.31","3 - 28","1 - 29","SM"
"transp_info","100","1199","0.121","0.122","0.255","2.155","0.142","0.142","0.026","11.99","4 - 26","2 - 26","SM"
"transp_male","100","1198","0.121","0.139","0.256","2.156","0.142","0.142","0.03","11.98","4 - 26","1 - 26","SM"
"transp_female","100","1231","0.124","0.164","0.261","2.124","0.148","0.138","0.037","12.31","3 - 27","3 - 26","SM"
"transp_exchange_plus_female","100","2242","0.226","0.272","0.44","1.836","0.198","0.218","0.021","22.42","10 - 42","7 - 44","SM"
"transp_main_supp","100","3119","0.315","0.364","0.558","1.753","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
"transp_main_supp_layer","100","3119","0.315","0.364","0.558","1.739","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
"transp_sum","100","3119","0.315","0.364","0.558","0.491","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
"transp_collapse_sum","100","3119","0.315","0.364","0.558","0.49","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
"transp_main_supp_matt","100","3136","0.317","0.372","0.558","1.751","0.259","0.249","0.015","31.36","11 - 57","14 - 56","SM"
"transp_main_supp_layer_matt","100","3136","0.317","0.372","0.558","1.736","0.259","0.249","0.015","31.36","11 - 57","14 - 56","SM"
"transp_sum_pop_downweighted","100","3119","0.315","0.364","0.558","0.101","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
"transp_sum_column_stochastic","100","3119","0.315","0.364","0.558","0.035","0.241","0.251","0.016","31.19","14 - 55","16 - 56","SM"
